B00, 2
B00, Blotteritem, {'type': 'Trade', 'time': 3155.2399999974205, 'price': 127, 'party1': 'B00', 'party2': 'S04', 'qty': 1}
B00, Blotteritem, {'type': 'Trade', 'time': 3875.1999999967657, 'price': 198, 'party1': 'B00', 'party2': 'S00', 'qty': 1}
B01, 1
B01, Blotteritem, {'type': 'Trade', 'time': 3334.3999999972575, 'price': 108.0, 'party1': 'S07', 'party2': 'B01', 'qty': 1}
B02, 0
B03, 0
B04, 0
B05, 12
B05, Blotteritem, {'type': 'Trade', 'time': 330.3599999999895, 'price': 97, 'party1': 'B05', 'party2': 'S04', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 2728.7999999978083, 'price': 138, 'party1': 'B05', 'party2': 'S03', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 2943.8199999976127, 'price': 139, 'party1': 'B05', 'party2': 'S00', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 3055.2799999975114, 'price': 138, 'party1': 'B05', 'party2': 'S02', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 3154.759999997421, 'price': 138, 'party1': 'B05', 'party2': 'S09', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 3184.559999997394, 'price': 114, 'party1': 'B05', 'party2': 'S07', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 3304.7799999972844, 'price': 137, 'party1': 'B05', 'party2': 'S05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 3364.79999999723, 'price': 133, 'party1': 'B05', 'party2': 'S05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 3394.7599999972026, 'price': 114, 'party1': 'B05', 'party2': 'S04', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 3485.2999999971203, 'price': 138, 'party1': 'B05', 'party2': 'S04', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 3574.839999997039, 'price': 108, 'party1': 'S03', 'party2': 'B05', 'qty': 1}
B05, Blotteritem, {'type': 'Trade', 'time': 4745.800000010749, 'price': 218.0, 'party1': 'S04', 'party2': 'B05', 'qty': 1}
B06, 2
