1, 000030, None, None, GVWY, 0, 10, 0.000000, PRSH, 0, 10, 0.000000, SHVR, 0, 10, 0.000000, ZIC, 0, 10, 0.000000, ZIP, 0, 10, 0.000000, N, N, 
1, 000030, 54, 94, GVWY, 1, 10, 0.100000, PRSH, 24, 10, 2.400000, SHVR, 0, 10, 0.000000, ZIC, 0, 10, 0.000000, ZIP, 0, 10, 0.000000, 54, 94, 
1, 000030, 72, 95, GVWY, 36, 10, 3.600000, PRSH, 24, 10, 2.400000, SHVR, 19, 10, 1.900000, ZIC, 0, 10, 0.000000, ZIP, 0, 10, 0.000000, 72, 95, 
1, 000030, 72, 95, GVWY, 36, 10, 3.600000, PRSH, 48, 10, 4.800000, SHVR, 19, 10, 1.900000, ZIC, 0, 10, 0.000000, ZIP, 22, 10, 2.200000, 72, 95, 
1, 000030, 72, 95, GVWY, 36, 10, 3.600000, PRSH, 48, 10, 4.800000, SHVR, 19, 10, 1.900000, ZIC, 62, 10, 6.200000, ZIP, 22, 10, 2.200000, 72, 95, 
1, 000031, 88, 97, GVWY, 36, 10, 3.600000, PRSH, 48, 10, 4.800000, SHVR, 19, 10, 1.900000, ZIC, 117, 10, 11.700000, ZIP, 22, 10, 2.200000, 88, 97, 
1, 000031, 89, 106, GVWY, 36, 10, 3.600000, PRSH, 94, 10, 9.400000, SHVR, 19, 10, 1.900000, ZIC, 117, 10, 11.700000, ZIP, 22, 10, 2.200000, 89, 106, 
1, 000032, 90, 108, GVWY, 36, 10, 3.600000, PRSH, 94, 10, 9.400000, SHVR, 19, 10, 1.900000, ZIC, 117, 10, 11.700000, ZIP, 76, 10, 7.600000, 90, 108, 
1, 000032, 90, 108, GVWY, 36, 10, 3.600000, PRSH, 94, 10, 9.400000, SHVR, 29, 10, 2.900000, ZIC, 117, 10, 11.700000, ZIP, 96, 10, 9.600000, 90, 108, 
1, 000035, 93, 112, GVWY, 36, 10, 3.600000, PRSH, 94, 10, 9.400000, SHVR, 29, 10, 2.900000, ZIC, 154, 10, 15.400000, ZIP, 96, 10, 9.600000, 93, 112, 
1, 000036, 110, 120, GVWY, 36, 10, 3.600000, PRSH, 94, 10, 9.400000, SHVR, 37, 10, 3.700000, ZIC, 154, 10, 15.400000, ZIP, 96, 10, 9.600000, 110, 120, 
1, 000041, 90, 129, GVWY, 36, 10, 3.600000, PRSH, 94, 10, 9.400000, SHVR, 42, 10, 4.200000, ZIC, 154, 10, 15.400000, ZIP, 96, 10, 9.600000, 90, 129, 
1, 000050, 90, 129, GVWY, 36, 10, 3.600000, PRSH, 106, 10, 10.600000, SHVR, 42, 10, 4.200000, ZIC, 196, 10, 19.600000, ZIP, 96, 10, 9.600000, 90, 129, 
1, 000060, None, 112, GVWY, 74, 10, 7.400000, PRSH, 106, 10, 10.600000, SHVR, 42, 10, 4.200000, ZIC, 196, 10, 19.600000, ZIP, 96, 10, 9.600000, N, 112, 
1, 000060, 91, 133, GVWY, 91, 10, 9.100000, PRSH, 106, 10, 10.600000, SHVR, 42, 10, 4.200000, ZIC, 196, 10, 19.600000, ZIP, 96, 10, 9.600000, 91, 133, 
1, 000060, 125, 129, GVWY, 138, 10, 13.800000, PRSH, 106, 10, 10.600000, SHVR, 42, 10, 4.200000, ZIC, 215, 10, 21.500000, ZIP, 96, 10, 9.600000, 125, 129, 
1, 000060, 113, 129, GVWY, 138, 10, 13.800000, PRSH, 144, 10, 14.400000, SHVR, 42, 10, 4.200000, ZIC, 215, 10, 21.500000, ZIP, 96, 10, 9.600000, 113, 129, 
1, 000062, 120, 125, GVWY, 138, 10, 13.800000, PRSH, 144, 10, 14.400000, SHVR, 42, 10, 4.200000, ZIC, 284, 10, 28.400000, ZIP, 110, 10, 11.000000, 120, 125, 
1, 000062, 109, 125, GVWY, 138, 10, 13.800000, PRSH, 144, 10, 14.400000, SHVR, 42, 10, 4.200000, ZIC, 342, 10, 34.200000, ZIP, 110, 10, 11.000000, 109, 125, 
1, 000062, 100, 125, GVWY, 139, 10, 13.900000, PRSH, 147, 10, 14.700000, SHVR, 42, 10, 4.200000, ZIC, 342, 10, 34.200000, ZIP, 110, 10, 11.000000, 100, 125, 
1, 000062, 100, 126, GVWY, 139, 10, 13.900000, PRSH, 147, 10, 14.700000, SHVR, 91, 10, 9.100000, ZIC, 368, 10, 36.800000, ZIP, 110, 10, 11.000000, 100, 126, 
1, 000068, 100, 114, GVWY, 139, 10, 13.900000, PRSH, 147, 10, 14.700000, SHVR, 91, 10, 9.100000, ZIC, 395, 10, 39.500000, ZIP, 166, 10, 16.600000, 100, 114, 
1, 000068, 100, 114, GVWY, 139, 10, 13.900000, PRSH, 154, 10, 15.400000, SHVR, 91, 10, 9.100000, ZIC, 413, 10, 41.300000, ZIP, 166, 10, 16.600000, 100, 114, 
1, 000087, 90, 105, GVWY, 139, 10, 13.900000, PRSH, 204, 10, 20.400000, SHVR, 91, 10, 9.100000, ZIC, 413, 10, 41.300000, ZIP, 166, 10, 16.600000, 90, 105, 
1, 000090, 88, 987, GVWY, 139, 10, 13.900000, PRSH, 204, 10, 20.400000, SHVR, 91, 10, 9.100000, ZIC, 413, 10, 41.300000, ZIP, 208, 10, 20.800000, 88, 987, 
1, 000090, 88, 103, GVWY, 171, 10, 17.100000, PRSH, 204, 10, 20.400000, SHVR, 91, 10, 9.100000, ZIC, 413, 10, 41.300000, ZIP, 222, 10, 22.200000, 88, 103, 
1, 000090, 88, 144, GVWY, 201, 10, 20.100000, PRSH, 204, 10, 20.400000, SHVR, 91, 10, 9.100000, ZIC, 413, 10, 41.300000, ZIP, 267, 10, 26.700000, 88, 144, 
1, 000091, 91, 101, GVWY, 214, 10, 21.400000, PRSH, 204, 10, 20.400000, SHVR, 119, 10, 11.900000, ZIC, 413, 10, 41.300000, ZIP, 267, 10, 26.700000, 91, 101, 
1, 000091, 91, 120, GVWY, 214, 10, 21.400000, PRSH, 207, 10, 20.700000, SHVR, 119, 10, 11.900000, ZIC, 413, 10, 41.300000, ZIP, 298, 10, 29.800000, 91, 120, 
