1, 000030, None, None, GVWY, 24, 10, 2.400000, PRSH, 39, 10, 3.900000, SHVR, 0, 10, 0.000000, ZIC, 0, 10, 0.000000, ZIP, 0, 10, 0.000000, N, N, 
1, 000030, 67, 103, GVWY, 24, 10, 2.400000, PRSH, 39, 10, 3.900000, SHVR, 0, 10, 0.000000, ZIC, 0, 10, 0.000000, ZIP, 29, 10, 2.900000, 67, 103, 
1, 000030, 67, 230, GVWY, 41, 10, 4.100000, PRSH, 55, 10, 5.500000, SHVR, 0, 10, 0.000000, ZIC, 0, 10, 0.000000, ZIP, 29, 10, 2.900000, 67, 230, 
1, 000030, 69, 116, GVWY, 48, 10, 4.800000, PRSH, 55, 10, 5.500000, SHVR, 0, 10, 0.000000, ZIC, 0, 10, 0.000000, ZIP, 35, 10, 3.500000, 69, 116, 
1, 000030, 69, 116, GVWY, 48, 10, 4.800000, PRSH, 72, 10, 7.200000, SHVR, 0, 10, 0.000000, ZIC, 37, 10, 3.700000, ZIP, 35, 10, 3.500000, 69, 116, 
1, 000030, 67, 116, GVWY, 48, 10, 4.800000, PRSH, 72, 10, 7.200000, SHVR, 81, 10, 8.100000, ZIC, 37, 10, 3.700000, ZIP, 46, 10, 4.600000, 67, 116, 
1, 000031, 82, 94, GVWY, 48, 10, 4.800000, PRSH, 124, 10, 12.400000, SHVR, 91, 10, 9.100000, ZIC, 37, 10, 3.700000, ZIP, 46, 10, 4.600000, 82, 94, 
1, 000031, 82, 94, GVWY, 82, 10, 8.200000, PRSH, 124, 10, 12.400000, SHVR, 91, 10, 9.100000, ZIC, 40, 10, 4.000000, ZIP, 46, 10, 4.600000, 82, 94, 
1, 000031, 82, 95, GVWY, 113, 10, 11.300000, PRSH, 124, 10, 12.400000, SHVR, 106, 10, 10.600000, ZIC, 40, 10, 4.000000, ZIP, 46, 10, 4.600000, 82, 95, 
1, 000031, 82, 116, GVWY, 126, 10, 12.600000, PRSH, 124, 10, 12.400000, SHVR, 106, 10, 10.600000, ZIC, 40, 10, 4.000000, ZIP, 46, 10, 4.600000, 82, 116, 
1, 000033, 94, 115, GVWY, 126, 10, 12.600000, PRSH, 124, 10, 12.400000, SHVR, 106, 10, 10.600000, ZIC, 40, 10, 4.000000, ZIP, 87, 10, 8.700000, 94, 115, 
1, 000040, 104, 110, GVWY, 126, 10, 12.600000, PRSH, 124, 10, 12.400000, SHVR, 110, 10, 11.000000, ZIC, 40, 10, 4.000000, ZIP, 87, 10, 8.700000, 104, 110, 
1, 000052, 106, 116, GVWY, 126, 10, 12.600000, PRSH, 152, 10, 15.200000, SHVR, 110, 10, 11.000000, ZIC, 40, 10, 4.000000, ZIP, 92, 10, 9.200000, 106, 116, 
1, 000060, 75, 166, GVWY, 160, 10, 16.000000, PRSH, 152, 10, 15.200000, SHVR, 110, 10, 11.000000, ZIC, 40, 10, 4.000000, ZIP, 92, 10, 9.200000, 75, 166, 
1, 000060, 75, 165, GVWY, 160, 10, 16.000000, PRSH, 187, 10, 18.700000, SHVR, 110, 10, 11.000000, ZIC, 40, 10, 4.000000, ZIP, 128, 10, 12.800000, 75, 165, 
1, 000060, 108, 165, GVWY, 180, 10, 18.000000, PRSH, 187, 10, 18.700000, SHVR, 110, 10, 11.000000, ZIC, 40, 10, 4.000000, ZIP, 142, 10, 14.200000, 108, 165, 
1, 000060, 108, 165, GVWY, 180, 10, 18.000000, PRSH, 187, 10, 18.700000, SHVR, 110, 10, 11.000000, ZIC, 40, 10, 4.000000, ZIP, 167, 10, 16.700000, 108, 165, 
1, 000060, 112, 137, GVWY, 180, 10, 18.000000, PRSH, 187, 10, 18.700000, SHVR, 110, 10, 11.000000, ZIC, 40, 10, 4.000000, ZIP, 217, 10, 21.700000, 112, 137, 
1, 000061, 112, 121, GVWY, 180, 10, 18.000000, PRSH, 187, 10, 18.700000, SHVR, 122, 10, 12.200000, ZIC, 40, 10, 4.000000, ZIP, 217, 10, 21.700000, 112, 121, 
1, 000061, 112, 121, GVWY, 243, 10, 24.300000, PRSH, 187, 10, 18.700000, SHVR, 159, 10, 15.900000, ZIC, 40, 10, 4.000000, ZIP, 217, 10, 21.700000, 112, 121, 
1, 000063, 108, 113, GVWY, 243, 10, 24.300000, PRSH, 187, 10, 18.700000, SHVR, 188, 10, 18.800000, ZIC, 40, 10, 4.000000, ZIP, 217, 10, 21.700000, 108, 113, 
1, 000066, 108, 111, GVWY, 243, 10, 24.300000, PRSH, 209, 10, 20.900000, SHVR, 220, 10, 22.000000, ZIC, 40, 10, 4.000000, ZIP, 217, 10, 21.700000, 108, 111, 
1, 000070, 94, 110, GVWY, 243, 10, 24.300000, PRSH, 209, 10, 20.900000, SHVR, 220, 10, 22.000000, ZIC, 86, 10, 8.600000, ZIP, 217, 10, 21.700000, 94, 110, 
1, 000073, 94, 102, GVWY, 243, 10, 24.300000, PRSH, 252, 10, 25.200000, SHVR, 220, 10, 22.000000, ZIC, 86, 10, 8.600000, ZIP, 261, 10, 26.100000, 94, 102, 
1, 000080, 90, 105, GVWY, 243, 10, 24.300000, PRSH, 259, 10, 25.900000, SHVR, 220, 10, 22.000000, ZIC, 86, 10, 8.600000, ZIP, 262, 10, 26.200000, 90, 105, 
1, 000090, 70, 119, GVWY, 244, 10, 24.400000, PRSH, 259, 10, 25.900000, SHVR, 220, 10, 22.000000, ZIC, 86, 10, 8.600000, ZIP, 270, 10, 27.000000, 70, 119, 
1, 000090, 99, 119, GVWY, 246, 10, 24.600000, PRSH, 259, 10, 25.900000, SHVR, 230, 10, 23.000000, ZIC, 86, 10, 8.600000, ZIP, 270, 10, 27.000000, 99, 119, 
