B00, 0
B01, 2
B01, Blotteritem, {'type': 'Trade', 'time': 4577.00000000123, 'price': 70.0, 'party1': 'B01', 'party2': 'S01', 'qty': 1}
B01, Blotteritem, {'type': 'Trade', 'time': 4635.916666667682, 'price': 70.0, 'party1': 'B01', 'party2': 'S01', 'qty': 1}
B02, 7
B02, Blotteritem, {'type': 'Trade', 'time': 4663.333333334249, 'price': 83, 'party1': 'B02', 'party2': 'S01', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 4690.750000000816, 'price': 81, 'party1': 'B02', 'party2': 'S01', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 4777.416666667167, 'price': 73, 'party1': 'B02', 'party2': 'S01', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 4803.1666666670735, 'price': 85, 'party1': 'B02', 'party2': 'S01', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 4860.750000000197, 'price': 85, 'party1': 'B02', 'party2': 'S01', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 4890.666666666755, 'price': 78, 'party1': 'B02', 'party2': 'S00', 'qty': 1}
B02, Blotteritem, {'type': 'Trade', 'time': 4975.333333333114, 'price': 85, 'party1': 'B02', 'party2': 'S00', 'qty': 1}
B03, 16
B03, Blotteritem, {'type': 'Trade', 'time': 4546.2500000013415, 'price': 110.0, 'party1': 'B03', 'party2': 'S03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 4573.16666666791, 'price': 110.0, 'party1': 'B03', 'party2': 'S03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 4604.833333334462, 'price': 110.0, 'party1': 'B03', 'party2': 'S03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 4630.416666667702, 'price': 110.0, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 4661.916666667587, 'price': 110.0, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 4688.66666666749, 'price': 110.0, 'party1': 'B03', 'party2': 'S00', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 4718.166666667383, 'price': 110.0, 'party1': 'B03', 'party2': 'S03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 4745.333333333951, 'price': 110.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 4772.8333333338505, 'price': 110.0, 'party1': 'B03', 'party2': 'S02', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 4801.833333333745, 'price': 110.0, 'party1': 'B03', 'party2': 'S02', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 4830.083333333642, 'price': 110.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
