B00, 0
B01, 0
B02, 0
B03, 6
B03, Blotteritem, {'type': 'Trade', 'time': 1141.09999999951, 'price': 83, 'party1': 'S02', 'party2': 'B03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 1368.8499999993028, 'price': 83, 'party1': 'S03', 'party2': 'B03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 1386.099999999287, 'price': 83, 'party1': 'S00', 'party2': 'B03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 1428.6999999992483, 'price': 81, 'party1': 'S02', 'party2': 'B03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 1439.8999999992382, 'price': 81, 'party1': 'S00', 'party2': 'B03', 'qty': 1}
B03, Blotteritem, {'type': 'Trade', 'time': 1459.1499999992207, 'price': 83, 'party1': 'S03', 'party2': 'B03', 'qty': 1}
B04, 22
B04, Blotteritem, {'type': 'Trade', 'time': 9.700000000000003, 'price': 69, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 49.74999999999931, 'price': 89, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 330.80000000004094, 'price': 93, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 355.95000000004666, 'price': 93, 'party1': 'B04', 'party2': 'S00', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 482.0000000000753, 'price': 91, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 555.8000000000422, 'price': 92, 'party1': 'S00', 'party2': 'B04', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 824.349999999798, 'price': 87, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
B04, Blotteritem, {'type': 'Trade', 'time': 874.949999999752, 'price': 86, 'party1': 'B04', 'party2': 'S01', 'qty': 1}
